Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dusky Warbler,0.0,0.0659341,0.2222222,0.28,0.2777778,0.1684211,0.2857143,0.3068182,0.2941176,0.3506494,0.1636364,0.2361111
Common Chiffchaff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.0,0.0,0.0138889
Green-crowned Warbler,0.0,0.0,0.0138889,0.02,0.0138889,0.0947368,0.0357143,0.0795455,0.0196078,0.1558442,0.2,0.2083333
Whistler's Warbler,0.0,0.0,0.0138889,0.02,0.0138889,0.0421053,0.0595238,0.0795455,0.0196078,0.0779221,0.1636364,0.1527778
Phylloscopus sp. (Golden-spectacled Warbler complex),0.0,0.0,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889
Greenish Warbler,0.1538462,0.021978,0.0277778,0.1,0.0833333,0.1052632,0.1785714,0.2272727,0.0980392,0.2727273,0.2727273,0.3333333
Large-billed Leaf Warbler,0.025641,0.0,0.0,0.0,0.0138889,0.0210526,0.0119048,0.0113636,0.0,0.012987,0.0363636,0.0
Yellow-vented Warbler,0.0,0.0,0.0,0.0,0.0,0.0105263,0.0357143,0.0227273,0.0196078,0.0649351,0.0363636,0.0694444
Western Crowned Warbler,0.0,0.0,0.0,0.0,0.0,0.0105263,0.0,0.0015,0.0,0.0,0.0,0.0
Blyth's Leaf Warbler,0.0,0.0,0.0,0.02,0.0555556,0.0631579,0.0595238,0.0909091,0.0392157,0.1428571,0.1090909,0.1527778
Gray-hooded Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phylloscopus sp.,0.0,0.0,0.0,0.0,0.0138889,0.0105263,0.0,0.0227273,0.0,0.025974,0.0181818,0.0
Asian Stubtail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038961,0.0015,0.0694444
Gray-bellied Tesia,0.0,0.0,0.0,0.02,0.0,0.0105263,0.0,0.0227273,0.0,0.0649351,0.1090909,0.0277778
Slaty-bellied Tesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
