Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Paddyfield Warbler,0.0,0.0,0.0063291,0.0067568,0.0,0.0,0.0015,0.0072464,0.0015,0.0,0.0,0.0148515
Blyth's Reed Warbler,0.0,0.0100503,0.0189873,0.027027,0.0603448,0.0808081,0.0898876,0.0724638,0.0588235,0.125,0.0684932,0.1336634
Clamorous Reed Warbler,0.0,0.0100503,0.0,0.0202703,0.0,0.0,0.011236,0.0434783,0.0235294,0.046875,0.0136986,0.0445545
Acrocephalus sp.,0.0,0.0,0.0,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Pallas's Grasshopper Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144928,0.0117647,0.0,0.0,0.0049505
Spotted Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bristled Grassbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Striated Grassbird,0.0,0.0100503,0.0253165,0.0135135,0.0172414,0.040404,0.011236,0.0289855,0.0235294,0.046875,0.0547945,0.049505
Gray-throated Martin,0.04,0.040201,0.0822785,0.0608108,0.0603448,0.1111111,0.0224719,0.0362319,0.0588235,0.078125,0.0547945,0.0940594
Bank Swallow,0.06,0.0904523,0.0822785,0.1216216,0.1034483,0.1313131,0.1348315,0.1376812,0.1176471,0.078125,0.0684932,0.1336634
Bank Swallow/Pale Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barn Swallow,0.21,0.1959799,0.221519,0.222973,0.137931,0.2222222,0.2359551,0.2391304,0.2117647,0.234375,0.3150685,0.3514851
Eastern Red-rumped Swallow,0.07,0.0954774,0.0696203,0.0405405,0.0086207,0.010101,0.0015,0.0,0.0117647,0.0,0.0273973,0.049505
Streak-throated Swallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235294,0.0,0.0136986,0.0049505
swallow sp.,0.0,0.0,0.0063291,0.0135135,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015,0.009901
Black-crested Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0
Red-whiskered Bulbul,0.11,0.0753769,0.1075949,0.0608108,0.112069,0.0505051,0.1011236,0.1014493,0.1411765,0.046875,0.0958904,0.0940594
Red-vented Bulbul,0.47,0.5075377,0.4493671,0.4662162,0.362069,0.3030303,0.3932584,0.4782609,0.4823529,0.421875,0.5068493,0.490099
Yellow-browed Warbler,0.02,0.0,0.0126582,0.0202703,0.0,0.0,0.0224719,0.0217391,0.0,0.0,0.0,0.0148515
Yellow-browed/Hume's Warbler,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tickell's Leaf Warbler,0.0,0.0050251,0.0189873,0.0,0.0086207,0.0,0.0449438,0.0072464,0.0470588,0.0,0.0136986,0.0148515
Dusky Warbler,0.0,0.0251256,0.0379747,0.0337838,0.0172414,0.010101,0.0337079,0.0434783,0.0117647,0.0,0.0273973,0.0940594
Common Chiffchaff,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0224719,0.0289855,0.0117647,0.0,0.0273973,0.0693069
Green-crowned Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901
Greenish Warbler,0.0,0.0502513,0.0759494,0.0608108,0.0172414,0.040404,0.011236,0.057971,0.0,0.0,0.0136986,0.0247525
Large-billed Leaf Warbler,0.02,0.0100503,0.0189873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Western Crowned Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blyth's Leaf Warbler,0.0,0.0,0.0063291,0.0,0.0,0.0,0.011236,0.0072464,0.0,0.0,0.0,0.0
Phylloscopus sp.,0.0,0.0,0.0,0.0135135,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0
Lesser Whitethroat,0.0,0.0,0.0,0.0,0.0172414,0.0,0.0,0.0,0.0,0.0,0.0,0.019802
Yellow-eyed Babbler,0.01,0.0,0.0063291,0.0,0.0,0.0,0.011236,0.0,0.0,0.0,0.0,0.0
Indian White-eye,0.0,0.0100503,0.0253165,0.0135135,0.0015,0.0015,0.0224719,0.0072464,0.0,0.0,0.0136986,0.0
Puff-throated Babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abbott's Babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jungle Babbler,0.38,0.3266332,0.335443,0.2972973,0.3017241,0.2020202,0.3707865,0.2391304,0.2235294,0.265625,0.3150685,0.3069307
Common Babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0224719,0.0,0.0,0.0,0.0136986,0.0247525
Striated Babbler,0.01,0.0150754,0.0696203,0.0472973,0.0344828,0.040404,0.0449438,0.0652174,0.0823529,0.046875,0.0547945,0.049505
Rufous-necked Laughingthrush,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Hill Myna,0.0,0.0,0.0,0.0067568,0.0172414,0.010101,0.0,0.0,0.0,0.0,0.0,0.0
